player,cluster,total_runs,strike_rate,total_fours,total_sixes,total_wickets,economy_rate,total_runs_conceded,mu_batting_glicko,phi_batting_glicko,mu_bowling_glicko,phi_bowling_glicko,avg_impact_residual_batter,avg_impact_residual_bowler
D du Preez,0,10.0,76.92307692307693,0.0,0.0,4.0,7.813953488372094,56.0,1500.0,350.0,1744.7600059463325,199.9044498392764,-0.1870529173758083,0.6149330883171906
DA Miller,4,2924.0,134.68447719944726,207.0,134.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.3113830826928654,0.0
DA Warner,4,6567.0,135.4299855640338,663.0,236.0,0.0,6.0,2.0,1500.0,350.0,1630.8325079999768,335.3186637633957,0.3009015605526942,-0.4980706737285915
DB Das,2,304.0,113.85767790262172,23.0,16.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2578534255627658,0.0
DB Ravi Teja,1,375.0,115.38461538461537,35.0,9.0,1.0,9.333333333333334,28.0,1500.0,350.0,1594.963746993104,246.3238871769956,0.2426274762644998,0.5850136795591024
DE Bollinger,1,21.0,91.30434782608695,1.0,1.0,43.0,7.16,716.0,1500.0,350.0,1673.2144871595356,87.43004862965235,0.4248313285692467,0.230156696693986
DG Nalkande,1,12.0,100.0,0.0,1.0,6.0,10.112359550561797,150.0,1500.0,350.0,1640.0523568556375,183.77360708262356,0.2567132760564007,0.338999163043531
DH Yagnik,2,170.0,119.71830985915493,23.0,2.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2244638340373662,0.0
DJ Bravo,3,1560.0,125.10024057738573,120.0,66.0,207.0,8.075242718446603,4436.0,1500.0,350.0,2253.8978837086916,88.83422167893988,0.2401743131120293,0.2598866571681753
DJ Harris,1,111.0,107.76699029126213,11.0,5.0,0.0,8.666666666666666,26.0,1500.0,350.0,1773.7522341013614,240.3882400352416,0.1459358266922813,0.691678460829785
DJ Hooda,1,1466.0,125.2991452991453,96.0,61.0,10.0,8.359375,535.0,1500.0,350.0,2053.8240945227953,105.259979554271,0.2212902563953296,0.2718331274243626
DJ Hussey,1,1322.0,120.07266121707538,90.0,60.0,10.0,9.009287925696594,485.0,1500.0,350.0,1742.3977996419153,105.47843265685032,0.2565658521531779,0.2570521223563777
DJ Jacobs,2,92.0,91.0891089108911,10.0,4.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.3758896040103239,0.0
DJ Mitchell,1,351.0,128.1021897810219,28.0,10.0,1.0,11.411764705882351,97.0,1500.0,350.0,1924.6992596148584,223.5310457104778,0.3176707153242742,0.4315848511672172
DJ Muthuswami,0,1.0,33.33333333333333,0.0,0.0,4.0,7.714285714285715,108.0,1500.0,350.0,1875.1159292118748,170.43833367311552,-0.2992003699549226,0.4395563819920495
DJ Thornely,1,39.0,72.22222222222221,2.0,2.0,3.0,5.454545454545454,40.0,1500.0,350.0,2098.8462595378724,203.4919225890747,0.1856806433507724,0.2409826072738257
DJ Willey,0,53.0,82.8125,7.0,0.0,7.0,7.520361990950226,277.0,1500.0,350.0,2348.7964807584776,124.48481967105408,0.0244596543637581,0.2611926836092177
DJG Sammy,1,295.0,117.52988047808766,15.0,18.0,14.0,8.704918032786885,354.0,1500.0,350.0,1881.8466507137312,112.41604439751254,0.2854625218666792,0.3778104537151815
DJM Short,2,115.0,112.74509803921569,11.0,5.0,1.0,7.666666666666666,23.0,1500.0,350.0,1861.164870447603,277.7708698310993,0.0292762200267356,-0.4155529109545134
