bowler,avg_impact_residual_bowler
SB Joshi,0.3195988448596641
SB Styris,0.36943464410709653
SB Wagh,0.32491622464176123
SC Ganguly,0.31438808801749485
SC Kuggeleijn,0.28413019636184467
SD Chitnis,0.14609049470270954
SE Bond,0.19740759615785625
SE Rutherford,0.150258888211161
SH Johnson,0.1946532458447934
SJ Srivastava,0.3217725544855858
SK Raina,0.21543379335988574
SK Trivedi,0.20877427583232203
SK Warne,0.19729903081799255
SL Malinga,0.22231323531417874
SM Boland,0.20568827118087202
SM Curran,0.3118739069949989
SM Harwood,0.39656673070858334
SM Pollock,0.2661168266968205
SMSM Senanayake,0.2149056785458952
SN Khan,-0.7320517094995966
SN Thakur,0.30426159714049544
SP Narine,0.17544523146253427
SPD Smith,0.9597406083651745
SR Tendulkar,0.11149577065688847
SR Watson,0.24505979748367823
SS Agarwal,0.47908290113345037
SS Cottrell,0.4590626768181053
SS Iyer,0.9748237890317394
SS Mundhe,0.5907346096643223
SS Sarkar,0.33664131937934216
SSB Magala,0.08512654738681003
ST Jayasuriya,0.30657903400094794
STR Binny,0.16186424078628844
SW Tait,0.17854882238385308
SZ Mulani,0.21695646271742555
Sachin Baby,0.31213566985636204
Sandeep Sharma,0.3170218258932965
Shahbaz Ahmed,0.2356273096211673
Shahid Afridi,0.18639899203799878
Shakib Al Hasan,0.23659103200350415
Shashank Singh,0.317148075591373
Shivam Mavi,0.29769451642942196
Shivam Sharma,0.4274651545819983
Shoaib Ahmed,0.33104648741947545
Shoaib Akhtar,0.14083535524820112
Shoaib Malik,0.1981034420511209
Sikandar Raza,0.39718706591444763
Simarjeet Singh,0.2224450468462229
Sohail Tanvir,0.2234948911511813
Sumit Kumar,0.6160159138715987
Sunny Gupta,-0.47090931144811
Suyash Sharma,0.2552089575886843
Swapnil Singh,0.21317481478596415
T Henderson,0.08904198573896088
T Natarajan,0.2690480613732257
T Shamsi,0.4611553587450366
T Stubbs,0.07649778447050797
T Thushara,0.3012798789016283
TA Boult,0.3285364666299829
TG Southee,0.30704458582270583
TK Curran,0.41250450778172415
TL Suman,0.21870243611499907
TM Dilshan,0.2205807096728714
TM Head,0.6369141515497494
TP Sudhindra,0.8117563485343016
TS Mills,0.3037978677342539
TU Deshpande,0.33634578577697893
Tejas Baroka,0.07822128082900608
Tilak Varma,0.36331006842667635
UT Yadav,0.30839278578386736
Umar Gul,0.27312490903870673
Umran Malik,0.26178989864858615
V Kaverappa,0.5116500432536103
V Kohli,0.2490183701256283
V Pratap Singh,0.3135298792638315
V Sehwag,0.2793664747430504
V Shankar,0.21416923891269396
V Viyaskanth,0.31411471980795047
VG Arora,0.3145842351460421
VR Aaron,0.27330405730861734
VR Iyer,0.331273587086681
VRV Singh,0.25490272584701523
VS Malik,0.30263321701399315
VS Yeligati,0.5847201258615402
VY Mahesh,0.26282647213774446
Vijaykumar Vyshak,0.29985343410589815
Vivrant Sharma,0.4319754950721343
WA Mota,0.516244725599099
WD Parnell,0.29513659086920324
WG Jacks,0.2597568493823833
WPUJC Vaas,0.4242331382794855
Washington Sundar,0.25158636565436243
Y Gnaneswara Rao,0.4901422571790128
Y Nagar,0.41465656155918096
Y Prithvi Raj,0.221233881570622
Y Venugopal Rao,0.25964015106844307
YA Abdulla,0.3418933403885432
YBK Jaiswal,-0.15255636505719572
YK Pathan,0.22612918501385967
YS Chahal,0.23293827075829704
Yash Dayal,0.3055272404920301
Yash Thakur,0.3922289431974105
Yudhvir Singh,0.5919266790429004
Yuvraj Singh,0.16257213949198063
Z Khan,0.27799510029509406
