batter,avg_impact_residual_batter
S Sreesanth,0.23049625938179516
S Sriram,0.029273978376385363
S Tyagi,-0.23138079745432757
S Vidyut,0.2222624021531799
SA Abbott,0.6175648465113354
SA Asnodkar,0.242275603574236
SA Yadav,0.30867732707959705
SB Bangar,0.16499036795782357
SB Dubey,0.5231852388712909
SB Jakati,0.31150957014047265
SB Joshi,0.06274265618693492
SB Styris,0.10668639245622148
SB Wagh,-0.17326397040963645
SC Ganguly,0.26376937662169825
SD Chitnis,0.2670983716220717
SD Hope,0.41381623880480617
SD Lad,-0.5034259348631734
SE Bond,-0.42294958046615166
SE Marsh,0.33019803765062433
SE Rutherford,0.34867619844335224
SH Johnson,0.05858003896884161
SJ Srivastava,0.23058723643268833
SK Raina,0.28968239909843735
SK Trivedi,0.15361170263297
SK Warne,0.14104384221014246
SL Malinga,0.22043184807979788
SM Curran,0.25607304195134345
SM Harwood,-0.18974809041923704
SM Katich,0.3054198801302725
SM Pollock,0.27632613432607595
SMSM Senanayake,-0.3495765498378888
SN Khan,0.21648099422258354
SN Thakur,-0.02802897784331356
SO Hetmyer,0.3902661659204215
SP Fleming,0.2762227866675803
SP Goswami,0.2038265073839553
SP Jackson,0.20442969793114832
SP Narine,0.10814884216674897
SPD Smith,0.2277199278859919
SR Tendulkar,0.19649229962337003
SR Watson,0.3628132911044385
SS Cottrell,0.0005134348457751753
SS Iyer,0.25685444357432313
SS Prabhudessai,0.32839964990607395
SS Shaikh,0.33198154967564053
SS Tiwary,0.24712561100012137
ST Jayasuriya,0.28866276449107114
STR Binny,0.26727419271479974
SV Samson,0.30779705209930047
SW Billings,0.21460147558264128
SW Tait,0.05465553404011526
SZ Mulani,-0.0013079840401641896
Sachin Baby,0.28619362708188045
Salman Butt,0.3548254608708247
Sameer Rizvi,-0.03841970240064834
Sandeep Sharma,0.1315880034054381
Sanvir Singh,0.0821231926319205
Saurav Chauhan,0.2077656398480655
Shahbaz Ahmed,0.17047832719991896
Shahid Afridi,0.3079672601451221
Shakib Al Hasan,0.2386634112673419
Shashank Singh,0.2188960895749101
Shivam Mavi,-0.10946533037185875
Shivam Sharma,-0.5862370229150736
Shivam Singh,-0.3023966800297941
Shoaib Ahmed,-0.004525991615785417
Shoaib Akhtar,0.24390853574837865
Shoaib Malik,-0.03670490100089859
Shubman Gill,0.28131331225606937
Sikandar Raza,0.3157705296266757
Simarjeet Singh,0.13930735236910527
Sohail Tanvir,0.30592301428691515
Sumit Kumar,0.37700440621575837
Sunny Gupta,0.0025367191347752402
Sunny Singh,-0.002082118179352333
Swapnil Singh,0.02544733544317954
T Banton,0.14925447276648232
T Henderson,0.3532908430376486
T Kohler-Cadmore,0.027987889477532866
T Kohli,0.21358203386448532
T Natarajan,0.015243717644531363
T Shamsi,0.16979220014687352
T Stubbs,0.3633763447762803
T Taibu,0.022558024410990325
T Thushara,0.20298505579820478
TA Boult,0.04696936180933667
TD Paine,0.1381221866015622
TG Southee,0.263601222680518
TH David,0.3424924158091156
TK Curran,0.27953526860063327
TL Seifert,0.3258929990238842
TL Suman,0.22011355854296843
TM Dilshan,0.1741673496461584
TM Head,0.12058980305214775
TM Srivastava,0.04965261006483885
TR Birt,0.5257591018132449
TS Mills,0.21346873991219617
TU Deshpande,0.05447242600114085
Tanush Kotian,0.26296371703356786
Tilak Varma,0.2541350347882021
U Kaul,0.001302541412563333
UA Birla,-0.1769703880350656
UBT Chand,0.22098722038408372
UT Khawaja,0.2549097038177976
UT Yadav,0.13179121323255896
Umar Gul,-0.19422620928405818
Umran Malik,0.5070709000131691
V Kohli,0.277430879546009
V Pratap Singh,-0.010123468829553854
V Sehwag,0.26636168103905594
V Shankar,0.24623263750144164
V Viyaskanth,0.38621548783822984
VG Arora,0.09563412481989512
VH Zol,0.3877817424390221
VR Aaron,0.16507595828471366
VR Iyer,0.2745756795997196
VRV Singh,-0.530036912623251
VS Malik,0.2973098325055747
VS Yeligati,-0.5130686337237496
VVS Laxman,0.19881899398363853
VY Mahesh,-0.005926075748929466
Vijaykumar Vyshak,0.30289410745672374
Virat Singh,0.07911995429207573
Vishnu Vinod,0.18849105972528318
Vivrant Sharma,0.3692195252148528
W Jaffer,0.27081465642316405
WA Mota,0.042267822418251146
WD Parnell,0.13342699494720203
WG Jacks,0.19420284326212064
WP Saha,0.23726745295841056
WPUJC Vaas,0.20079926462102451
Washington Sundar,0.13991598603234434
X Thalaivan Sargunam,-0.2433455271451189
Y Gnaneswara Rao,-0.07851630017956619
Y Nagar,0.2572190229561576
Y Prithvi Raj,0.0002637845308693929
Y Venugopal Rao,0.30478996279370574
YA Abdulla,-0.03398996080341883
YBK Jaiswal,0.2726239891627497
YK Pathan,0.2749415195215064
YS Chahal,0.1639386497515019
YV Dhull,-0.03811405974613326
YV Takawale,0.4151848108033064
Yash Dayal,0.009762960983728535
Yashpal Singh,0.23865810781545638
Younis Khan,-0.05829294832001193
Yudhvir Singh,-0.2462602351347409
Yuvraj Singh,0.33286966398955165
Z Khan,0.09153018023732867
